title,previous rating,rating,year,era,head_writer,number_of_episode,average_viewership,highest_viewership,lowest_viewership,airing_status,synopsis
Hikari sentai Maskman,7,7.1,1987,Showa,Hirohisa Soda,51,11.4,15.3,6.1,finished,"Commander Sugata, a scientist and sage who excelled in mental reinforcements and is a master of every martial art. He discovered the existence of the Royal Underground Empire Tube, a malignant force that desires to dominate the land, which is based underneath Japan. The new goal of Tube had become turning the world into a cold and shady planet, conditions that would need to be achieved so that the citizens of Tube could live on the surface. In order to stand against them and thwart their plans, Sugata recruited five young people, each one specializing in a style of martial arts, and taught them in the ways of the mystical ""Aura Power"" energy."
Choujuu sentai Liveman,6.9,7.2,1988,Showa,Hirohisa Soda,49,10.5,14.6,6.1,finished,"Academia Island, which is both a location and a school for scientists. One day, Academia's three finest students, Tsukigata, Senda, and Omura felt their talents were being wasted at Academia and left. They accepted a position in the evil organization Volt. On the night of their departure, their former classmates Yusuke Amamiya, Jou Ohara, Megumi Misaki, Takuji Yano, and Mari Aikawa saw them leaving on a space ship, Tsukigata killed Takuji and Mari. Two years later, Academia launched a shuttle for space exploration. However, a mysterious ship appears and downs the shuttle. They discover that the three betrayers were responsible for the destruction of the shuttle. As a result, Yusuke, Jou, and Megumi took up the powers of the original project they working with late Takuji and Mari, becoming Liveman to battle against their former classmates and Volt."
Kousoku sentai Turboranger,7.5,7.2,1989,Heisei,Hirohisa Soda,51,7.6,12.2,4.4,finished,"Twenty thousand years ago, the Fairy race assisted humans in a battle against the Boma Tribes and successfully sealed the Boma Tribes away. However, due to modern day pollution and man's destruction of nature, the power of Fairy magic has weakened, allowing the seal to be broken and the Tribes escape. Seelon, the last of the fairies, with the help of Dr. Dazai, summoned five high school seniors. As children, they were showered with the ""flames of spirit"" of the fallen fairies in a forest and can now hear Seelon's voice. Donning powered suits, the product of a combination of Seelon's magic and Dr. Dazai's science, the five youths became the Turborangers, juggling days of fighting with their regular school lives, in order to defeat the Boma Tribes."
Chikyuu sentai Fiveman,7.5,7.6,1990,Heisei,Hirohisa Soda,48,6.5,13.3,1.8,finished,"Doctor Hoshikawa was researching how to transform the planet Sedon into a green, lush world, and tested his research by attempting to grow flowers. On the day the first flower bloomed, the Zone Empire launched an assault on the planet, he and his wife were separated from their five children. Arthur G6 took the five children back to Earth and raised them. 20 years later, The Zone empire now prepares to invade Earth as its thousandth target and as they begin the attack, Five warriors descend from the vehicles and confront Zone. The Hoshikawa siblings have been developing the Fiveman technology and ready to battle with the familiar foes as Fiveman."
Chojin sentai Jetman,8.2,8.2,1991,Heisei,Toshiki Inoue,51,7.1,12,3.9,finished,"The Earth Ship, the command center of an international defense agency called Sky Force, the guardian of peace on Earth. In the ship, scientists have developed ""Birdonic Waves"", a newly developed technology which gives the subject superhuman abilities. Aya Odagiri, the director of the project, chose five elite Sky Force officials from Earth to use this technology. However, the Earth Ship is suddenly attacked by Vyram, an evil outer-dimensional organization bent on inter-dimensional domination. The remaining Birdonic waves that were meant for the other four officials become scattered on Earth, hitting four civilians instead. Odagiri and Ryu begin searching on Earth for the four remaining Jetman, training them to aid them in stopping Vyram's plans of conquering our dimension."
Kyouryu sentai Zyuranger,7.9,7.9,1992,Heisei,Noboru Sugimura,50,7.1,13.2,4.5,finished,"170 Million years ago, five ancient human tribes, with the protection of the Guardian Beasts, coexisted with the dinosaurs. This ended when the evil Witch Bandora started a war on the dinosaurs because of the death of her son Kai. The five tribes were ruined and the dinosaurs became extinct. The Guardian Beasts sealed Bandora and her minions on the planet Nemesis before going into hibernation. In modern day, Nemesis returned to Earth's orbit. Two astronauts exploring the planet accidentally released her and her minions from their prison. Her arch-enemy, the Mysterious Sage Barza retreated to his underground lair and revived the five Holy Warriors of Justice he had been guarding. These five were each a member of the ancient human tribes, who coexisted with the dinosaurs. With the aid of the Guardian Beasts, they fought Bandora and her Monsters as Zyurangers."
Gosei sentai Dairanger,7.9,8,1993,Heisei,Noboru Sugimura,50,7,9.6,3.5,finished,"Over 8,000 years ago, the Daos civilization flourished in Southern China. The Daos Empire consisted in three tribes: Dai, Shura (ancestors of today's humanity) and Gorma who lived harmoniously. However, one day the Gorma Tribe tried to take over the Empire. Thus began the war between the Gorma and the Dai Tribe.The Mythical Qi Beasts appeared to oppose the Gorma, whose magical powers had increased to the point where they could turn themselves into monsters. Five Dai warriors' Qi powers had increased to the point where they could control the Mythical Qi Beasts. The war ended with the disappearance of both the Dai and Gorma Tribes. In 1993, the Gorma Tribe revived to take over the world. To counter them, Master Kaku assembled a team of five youths with high levels of Qi. They became the Dairangers of present time."
Ninja sentai Kakuranger,7.6,7.7,1994,Heisei,Noboru Sugimura,53,5.7,9,3.1,finished,"400 years ago, the ninja and the Yokai had a great war. The legendary Sarutobi Sasuke and four other ninja sealed the Yokai Commander Nurarihyon and all his Yokai energies away in a cave protected by the ""Seal Door"". In the present, the only surviving Yokai, Kappa, tricks Sarutobi Sasuke and Kirigakure Saizo's descendants, Sasuke and Saizou, into releasing the Yokai by opening the ""Seal Door"". Now these two, joined by three other descendants of the great ninja, become the Kakurangers to fight the Yokai, with the aid of the Three God Generals."
Chouriki sentai Ohranger,6.8,7,1995,Heisei,Noboru Sugimura,48,4.5,6.4,2.9,finished,"600 million years ago, Pangaea created a robot named Bacchus Wrath, who ultimately turned on his creators. The KingRanger defeated Bacchus Wrath and banished him from Earth. In the year 1995, Bacchus returned to Earth as the ruler of the Machine Empire Baranoia with the intention of wiping out all human life and bring about machine rule. Chief Counsellor Miura revived super energies that had been born of the lost civilization of Pangaea with the intention of creating weapons to fight against Baranoia. The reassembling of a stone plate uncovered three years previously, the secrets of ""Super Power"" were revealed. Miura built a pyramid to generate Tetrahedron power in order to allow five U.A.O.H. officers to transform into Ohrangers."
Gekisou sentai Carranger,6.5,6.8,1996,Heisei,Yoshio Urasawa,48,4.8,6.7,1.4,finished,"Dappu, a young alien from the planet Hazard, is forced to leave his home after it is destroyed by the Universal Reckless Driving Tribe Bowzock, a gang of wild thugs who run rampant throughout the universe by causing chaos on planets before ultimately blowing them up. Dappu has knowledge of ""Carmagic"", a special magic connected to five ""car constellations"" that give great power. When the Bowzock decide their next target of destruction as Earth, Dappu discovers the power of the five constellations within five beings on the planet, who possess Carmagic within them and the ability to harness the power into becoming the Gekisou Sentai Carranger which can stand up to the space thugs"
Denji sentai Megaranger,7.1,7.6,1997,Heisei,Junki Takegami,51,6.5,9.6,3.4,finished,"Kenta Date, a young high school student, is the champion of an arcade video-game known as ""Megaranger"". Due to his skills and abilities, the I.N.E.T. company brings him in to use his skills and abilities in a top-secret project tied to the Megaranger game. At the same moment as he is brought in, four other students of the ""Digital Research Club"" at Moroboshi High School and reveals the truth to Kenta and friends: Megaranger was not a video-game, but actually a combat simulator that had been designed to find the recruits with the potential to become a super fighting team to strike against the Nezireija. Kubota gives Kenta and his friends special devices known as Digitizers which allows them to fight as Megarangers."
Seijuu sentai Gingaman,8,7.4,1998,Heisei,Yasuko Kobayashi,50,7.9,10.8,4.5,finished,"3,000 years ago, the Balban space pirates invaded Earth. The Starbeasts and the first Gingaman, warriors of the Ginga Forest, fought them with the mystical power called Earth and eventually were able to imprison them. Hyuuga, Hayate, Gouki, Hikaru and Saya are chosen as the 133rd generation of warriors of the Starbeast Swords. While Elder Orghi holds the succession ceremony of the Starbeast Swords, an earthquake breaks the seal of Balban. The Balban attacks prevent the birth of the new Gingaman. During the battle, Hyuuga gets shallowed into a crack in the ground. Becoming enraged, Ryouma, Hyuuga's younger brother activates his Earth power and awakens the GingaBraces and become GingaRed replacing His brother."
Kyukyu Sentai GoGoFive,6.5,7,1999,Heisei,Junki Takegami,50,6.6,8.7,3,finished,"Grandiene has been waiting for the day of resurrection, the day when the planets are in the alignment of the Grand Cross. Her children descend to the Earth to make it a realm of darkness for her. Ten years prior, Professor Tatsumi of the Tatsumi Disaster Prevention Institute predicted this event, but nobody believed him. He left his family so he can secretly develop and construct the Rescue System. Now in 1999, Professor Tatsumi appears again to give the means to save the world to his children."
Mirai Sentai Timeranger,8.1,8.4,2000,Heisei,Yasuko Kobayashi,51,7.1,9.8,4.8,finished,"In the 30th century, time travel becomes illegal after a time paradox crisis. The Time Protection Department is established to watch for and stop time crimes. Four new enlistee cadets of the TPD are tricked by Don Dolnero and his gang into letting them time-travel to the 20th century to commit various crimes. the four cadets pursue them to protect history. The Timeranger program requires five members for the first operation. They thus coerce a present-day martial artist, Tatsuya Asami, to join them, allowing them to become the Timerangers."
Hyakujuu sentai Gaoranger,7.3,8.4,2001,Heisei,Junki Takegami,51,8.8,11.5,5.3,finished,"One thousand years ago, a war raged between humans and the demonic Org race. With the help of the Power Animals, the ancient Gao Warriors were able to defeat the Org's leader, Hyakkimaru, and seal the Orgs. Today, the Orgs have begun to revive, and five warriors have been chosen by the Power Animals. They must abandon their current lives and become the new generation of Gaorangers to protect the life of Earth."
Ninpuu sentai Hurricaneger,7.5,7.6,2002,Heisei,Jun'ichi Miyashita,51,7.5,9.6,4.6,finished,"In the Hayate's Way Ninja Academy, three of its pupils aren't exactly fitting in. But because their Sensei believes them to have potential, he regularly spends the morning personally subjecting them to rigorous training. While the other students are having their graduation ceremony, a group of evil space ninja known as the Jakanja infiltrated the school, killing most of the students. The school's Sensei, Mugensai, turned himself into a hamster to evade his pursuers. The trio was then taken to a secret base to become the legendary Hurricanegers to fight the Jakanja."
Bakuryuu sentai Abaranger,7.3,7.3,2003,Heisei,Naruhisa Arakawa,50,7.1,9.3,4.2,finished,"Scientists believe that 65 Million years ago, a meteorite's crash on Earth killed off the dinosaurs, but in truth, it split Earth into two parallel universes: The Earth we know is referred to as ""Another Earth"" by the residents of the Earth where dinosaurs were still the superior species, Dino Earth. Overtime, the humanoid Saurian and Bakuryuu races came into being on DinoEarth but were at war with the Evolians, entities that emerged from the meteor. Asuka, a Saurian from Dino Earth, arrives on Earth via a transdimensional portal. However, he is followed by the Evolians who got three  Bakuryuus under their control until three people who possess DinoGuts and the potential of gaining the power to tame the rampaging Bakuryuu. The three people recognized by the first three Bakuryuu become Abarangers to protect their dimension from the Evolians."
Tokusou sentai Dekaranger,7.9,8.2,2004,Heisei,Naruhisa Arakawa,50,7.1,8.6,4.2,finished,"The universe has come together where aliens from many different planets coincide in peace. Banban Akaza was transferred to the Earth branch of S.P.D. (Special Police Dekaranger) in the city of Megalopolis by his commander. By that time, a major outbreak of crimes had broken out by a group of aliens known as the Alienizers. Agent Abrella, an Alienizer arms dealer, turns his destructive attention to Earth by helping the criminals there. It's up to the Dekarangers to stop them and bring them to justice."
Mahou sentai Magiranger,7,7.3,2005,Heisei,Atsushi Maekawa,49,7.7,9.8,5.3,finished,"A war between the Infershia and Magitopia had occurred unbeknownst to humans. After being imprisoned within the Earth for fifteen years, the Infershia have returned to get revenge from their imprisonment. When the Infershia attack, five siblings witness their mother change in front of them and she hands them MagiPhones to transform into a magic team. Now endowed with magic powers, these five vow to live up to their family's legacy. Then they become the Mahou Sentai Magiranger. They have yet to discover many more family secrets."
Gougou sentai Boukenger,7.5,7.5,2006,Heisei,Sho Aikawa,49,6.7,9.7,4.5,finished,"Powerful relics known as Precious have started to appear throughout the world. However, the various Negative Syndicates wish to take the Precious for themselves and utilize them for evil means. To make sure that the Precious don't fall into the hands of the Negative Syndicates the Search Guard Successor Foundation, or SGS, has developed its own special operations team, the Boukengers, who do battle and collect the dangerous Precious."
Jyuken sentai Gekiranger,7.5,7.7,2007,Heisei,Michiko Yokote,49,5.2,6.8,3.5,finished,"Sensing one's beast heart... A kenpou for obtaining beast power... Jyuken! Jyuken martial arts is split into two opposing schools. One, a Jyuken of Justice, GekiJyuken Beast Arts! The Other, an evil Jyuken! RinJyuken Aku Gata! Martial artists destined to fight must survive daily for the top. They learn... They change..."
Engine sentai Go-onger,6.6,6.5,2008,Heisei,Junki Takegami,50,5.1,6.6,3,finished,"Machine World is one of the 11 Braneworlds other than our own, which is referred to as the Human World. Machine World is home to giant vehicular beings called Engines who wage a war against the Gaiark, who desire to pollute their world. Losing, Gaiark's three Pollution Ministers escape to Earth, seeing the Human World as an easier location to create their ideal paradise. The six Engines manage to pursue them, selecting five humans to become their partners, the Go-Ongers."
Samurai Sentai Shinkenger,8.2,8.5,2009,Heisei,Yasuko Kobayashi,49,5.9,7.5,2.5,finished,"For centuries, there has been a war between humanity and the Gedoshu, creatures who emerge from the depths of the underworld and cause fear and terror to those around them. To fight against these creatures, the Emperor of Japan ordained five clans of samurai to fight against the Gedoshu threat three-hundred years in the past, forming the Samurai Sentai Shinkenger. For 17 generations, the war between the Shinkenger and Ayakashi continued, with slight reprieve given due to a massive sacrifice of the former leader to temporarily stop the Gedoshu leader, Dokoku Chimatsuri. However many years later, with the Gedoshu beginning their attacks again and Dokoku rerising to flood the world with the water of the Sanzu River of the underworld, Takeru Shiba, the 18th Shiba Clan leader, must gather his retainers again to fight back against the threat and protect the world."
Tensou sentai Goseiger,7,6.1,2010,Heisei,Michiko Yokote,50,5.4,7.6,3.4,finished,"In a dimension that is invisible to human eyes, called Gosei World, there are beings called Gosei Angels. They have super powers that humans do not have, called Gosei Power. Unknown to humans, they use their powers to protect the Earth and mankind from dangerous elements. To defend the Earth from the invading enemies, the Gosei Angels use a passage called the Tower of Heaven in order to travel between the surface and Gosei World. However, a group of enemy invaders, called Warstar invades the Earth and destroys the Tower of Heaven. With the Tower destroyed, the Gosei Angels are unable to reach the surface. With no Gosei Angels, the Earth will be destroyed by these invaders. However, 5 young and immature Gosei Angels, while in disguise, were visiting the human world before the invasion and rise up against the demons to protect the Earth."
Kaizoku sentai Gokaiger,8.6,8.5,2011,Heisei,Naruhisa Arakawa,51,5,6.6,3.2,finished,"The 34 Super Sentai have lost their power defeating first wave invasion of the evil Universal Empire Zangyack. However, Zangyack arrive with reinforcements and invade the Earth once more! While the lost powers of the 34 previous Super Sentai teams have been inherited by a group of unbelievable rogues! These youths travel the great seas of space searching for adventure and romance. They revolt against Space Empire Zangyack. These hearty fellows proudly bear the pirate name! And their name is Gokaiger!"
Tokumei Sentai Go Busters,7.9,7.7,2012,Heisei,Yasuko Kobayashi,50,4.1,5.3,2.2,finished,"The urban lives of the city are now run by a major power source known as Enetron. An evil organization from a different dimension called Vaglass aims to threaten the city by stealing the Enetron from it. Three warriors chosen by the Energy Management Center as a group of elite heroes, Go-Busters, will protect the city from any evil threat. Along with their partners, known as Buddy Roids to stop Vaglass from obtaining the Enetron from the city."
Jûden Sentai Kyôryûjâ,7.4,7.4,2013,Heisei,Riku Sanjou,48,3.9,5.3,2.3,finished,"Long ago, in the time of the dinosaurs, the Earth was invaded by an alien menace called Deboth, the leader of an invasion army. On the verge of extinction, some of the dinosaurs are transformed into Zyudenryu and seal Deboth and his forces in ice. Now, in the modern world, the Deboth Army have thawed and now intend to commence the mass extinction of humanity while thawing their still frozen leader. But having prepared for it, Wise God Torin gathers the only people capable of helping the Zyudenryu stop the Deboth Army, The Kyoryugers."
Ressha Sentai Toqger,7.6,7.5,2014,Heisei,Yasuko Kobayashi,47,3.8,5.4,2.6,finished,"Five young people travel on the Rainbow Line. But they have several problems: they'll often arrive at a station only to find it's been taken over by the evil Shadow Line, they can't remember anything beyond their childhoods, and there are lost trains that need to be found."
Shuriken Sentai Ninninger,6.7,6.2,2015,Heisei,Kento Shimoyama,47,3.9,5.2,2.3,finished,"The evil warlord Gengetsu Kibaoni was defeated 444 years ago by the Igasaki Clan to which he swore to destroy humanity, and again later the Kibaoni Army once again rose in the times of Last Ninja in which he was sealed by Yoshitaka Igasaki, the Last Ninja. Yet again exactly 444 years later in 2015 Kyuemon Izayoi and Raizo Gabi, the Generals of Kibaoni, rise and start building up the empire again and try to revive Gengetsu Kibaoni. In this time, Tsumuji Igasaki, son of Last Ninja gathers the five predicted cousin Ninjas and hands them the Ichibantou swords for fighting the Kibaoni Army."
Doubutsu Sentai Zyuohger,7.6,7.7,2016,Heisei,Junko Komura,48,3.4,5.1,2.1,finished,"Yamato Kazakiri, a novice zoologist, winds up lost on “Zyuland”; another world located on Earth! There, he meets four “Zyuman"" - anthropomorphic, sapient animals. Meanwhile, the human world is attacked by the space outlaw group “Deathgalien”.Yamato and the Zyumans cannot forgive the Deathgaliens for attacking. As proud beings living on the Earth, these five people awaken their instincts and become Zyuohger! With their “King’s Credentials” in hand, the human and Zyumans join together to fight for their home. The dream team of animal kings; the strongest animal heroes in Super Sentai history are born! Don’t underestimate this planet!!"
Uchuu Sentai Kyuranger,7,7.3,2017,Heisei,Nobuhiro Mouri,48,3,3.8,2,finished,"Earth has been taken over by invaders. With the universe under their thrall, the tears of the people awaken the nine ultimate saviors, chosen by the Kyutama, and they are here for the galaxy's salvation. Nine different people with strong personas. The most powerful warriors arrive here and now."
Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger,7.4,7.7,2018,Heisei,Junko Komura,51,3,4.5,1.8,finished,"Gathered throughout his lifetime, the gentleman thief Arsène Lupin assembled a vast collection of dangerous items known as the ""Lupin Collection"". When this collection is stolen by interspace invaders known as the Gangler, two teams set out to retrieve it! Kaitou Sentai Lupinranger, who desires to live up to Lupin's name, aims at stealing back the collection from the Gangler. While Keisatsu Sentai Patranger, who hopes to uphold justice, aims to retrieve the collection and take down the Gangler! With two rival teams confronting each other for the same goal, just who will emerge victoriously?"
Kîshiryuu Sentai Ryusoulger,7.5,6.7,2019,Heisei,Junpei Yamaoka,48,2.6,3.7,1.4,finished,"65 million years ago, the knights of the Ryusoul Tribe were selected to participate in a war campaign against the dictating Druidon Tribe who sought to rule Earth. But the Druidon's war campaign was halted by the meteor that brought the age of the dinosaurs to an end, forcing them to flee into space. Meanwhile, the Kishiryu were placed in a deep sleep as a failsafe should the Druidon return. The chosen knights choose to live in peace while passing their mantle down across generations. In the present day, the Druidon return to reclaim Earth as the current generation of knights, the Ryusoulgers, have been revived by their mission as the battle against the Warfare Tribe Druidon begins"
Mashin Sentai Kiramager,8,7.4,2020,Reiwa,Naruhisa Arakawa,45,3.6,4.4,1.3,finished,"A princess from a land of jewelry and Kiramai Stones comes to Earth in search of people with a “shining spirit” called Kiramental, a source of outstanding charm and talent. She seeks them out to make them into warriors to defend Earth from an evil army. Five are chosen by the Kiramai Stones, which transform into sentient vehicle companions known as Mashin. Using these powers, they fight the evil army bent on robbing people of their hope and radiance."
Kikai Sentai Zenkaiger,7.5,6.8,2021,Reiwa,Junko Komura,49,4.1,5.7,2.1,finished,"One month ago, a strange phenomenon suddenly fused the human world with the parallel world of Kikaitopia. Despite this, the inhabitants of both worlds, humans and Kikainoids, quickly got along and live peacefully together. In the present, however, their lives are threatened by Kikaitopia's evil rulers, the Tojitendo Dynasty, who seek to conquer all parallel worlds. To face this new threat, a brave and energetic young man named Kaito Goshikida inherits the powers of all previous Super Sentai. Transforming into Zenkaizer, he joins forces with the Kikainoids Juran, Gaon, Magine, and Vroon to save the multiverse from the Tojitendo and find his missing parents."
Avataro Sentai Donbrothers,7.8,8.1,2022,Reiwa,Toshiki Inoue,50,4.2,5.4,3.1,finished,"Heroes unlike those you've ever seen before! These five are based on the Tale of Momotaro, as a dog, pheasant, monkey, and oni join together to fight against other demons! Using the legendary powers of the Avataro Gears, they load an avatar to fight as they Avatar Change! They fight against the dreaded Oni, demons born from human desires, and the demonic organization that supports them, the Noto! When a high school student named Haruka Kito gets mysterious powers, she is told by a man named Jin Momoi that she must find his son, Taro Momoi, and swear loyalty to him! But what exactly does this all mean? And who are these mysterious allies he keeps mentioning she will find? The story of the Donbrothers will unravel as we journey into this wondrous festival together!!"
Ohsama Sentai Kingohger,0,8.5,2023,Reiwa,Minato Takano,50,3.0 (Incomplete Data),4.7 (Incomplete Data),1.2 (Incomplete Data),finished,"The kingdoms of the Earth share an ancient prophecy: two thousand years after its fall, the Bugnarak Earth Empire will rise again to kill all humans. But five kings and their guardian god, King-Ohger, will face them."
Bakuage Sentai Boonboomger,0,8,2024,Reiwa,Atsuhiro Tomioka,48,0 (Incomplete Data),0 (Incomplete Data),0 (Incomplete Data),finished,Space aliens from a different planet invade earth in attempt to expand their territory. They are confronted by 3 Individuals who have overwhelmingly mechanic technology and individual creativity.
No. 1 Sentai Gozyuger,0,7,2025,Reiwa,Akiko Inoue,14,0 (Incomplete Data),0 (Incomplete Data),0 (Incomplete Data),ongoing,"A deity ends an ancient mecha war but falls dormant. Now, jobless Hoeru meets this being when evil forces attack Earth. Gaining transformation powers, he fights them while seeking purpose and ring fragments that grant wishes."
